Name,URL,Image,Capacity (W),Capacity (VA),Price
APC Easy UPS BV1000I-MS 230V,https://pcpartpicker.com/product/RsV2FT/apc-easy-ups-bv1000i-ms-230v-ups-bv1000i-ms,https://m.media-amazon.com/images/I/418BqXmoyML.jpg,600 W,1000 VA,
VERTIV Liebert PSl5,https://pcpartpicker.com/product/NWKnTW/vertiv-liebert-psl5-ups-psi5-1500mt120,https://cdna.pcpartpicker.com/static/forever/images/product/72ee010d09f29d273f35e8043681816a.256p.jpg,1350 W,1440 VA,598.50
APC SMT3000C,https://pcpartpicker.com/product/ghpD4D/apc-smt3000c-ups-smt3000c,https://cdna.pcpartpicker.com/static/forever/images/product/83a45e428a7db41fa474fee07ae1b2e2.256p.jpg,2700 W,3000 VA,1555.00
APC BN1080G,https://pcpartpicker.com/product/MQVBD3/apc-ups-bn1080g,/static/forever/img/no-image.png,650 W,1080 VA,
APC SMX1000I,https://pcpartpicker.com/product/NbjWGX/apc-ups-smx1000i,https://cdna.pcpartpicker.com/static/forever/images/product/079e0e3cabbd73b0ea205e4ed74f488a.256p.jpg,800 W,1000 VA,1156.17
APC SMX1500RMI2U,https://pcpartpicker.com/product/nRGj4D/apc-ups-smx1500rmi2u,https://cdna.pcpartpicker.com/static/forever/images/product/ce7ffa49ba349731bccc85b99251583c.256p.jpg,1200 W,1500 VA,1536.20
Tripp Lite INTERNET600U,https://pcpartpicker.com/product/B8KhP6/tripp-lite-ups-internet600u,https://cdna.pcpartpicker.com/static/forever/images/product/484627f9632fc39999b5e7bbe00fe9a4.256p.jpg,300 W,600 VA,81.02
Tripp Lite SMART3000RMXL2U,https://pcpartpicker.com/product/nm8H99/tripp-lite-ups-smart3000rmxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/83090d649a8a67d12c64b8a01518d55f.256p.jpg,2880 W,3000 VA,2096.99
CyberPower CS16U48V-8,https://pcpartpicker.com/product/FjcMnQ/cyberpower-ups-cs16u48v8,https://cdna.pcpartpicker.com/static/forever/images/product/78f89693c4873802549eff383ac9a3f8.256p.jpg,16 W,,
APC SMT3000,https://pcpartpicker.com/product/TkTrxr/apc-ups-smt3000,https://cdna.pcpartpicker.com/static/forever/images/product/1e53d2688d416cc17cf25efab22966d5.256p.jpg,2700 W,3000 VA,1699.00
APC BR900GI,https://pcpartpicker.com/product/VXH48d/apc-ups-br900gi,https://cdna.pcpartpicker.com/static/forever/images/product/9ed88c6d159141bbf59f2fa35a557fcc.256p.jpg,540 W,900 VA,
APC SMT3000I,https://pcpartpicker.com/product/ZbjWGX/apc-ups-smt3000i,https://cdna.pcpartpicker.com/static/forever/images/product/1873016520e56e655fb4952e6e9fb262.256p.jpg,2700 W,3000 VA,1699.00
APC SMX3000HV,https://pcpartpicker.com/product/Vpbkcf/apc-ups-smx3000hv,https://cdna.pcpartpicker.com/static/forever/images/product/2325b4e01261896c7195d3d73f3a3907.256p.jpg,2700 W,3000 VA,3117.90
APC SRT6KRMXLI,https://pcpartpicker.com/product/v9Wrxr/apc-ups-srt6krmxli,https://cdna.pcpartpicker.com/static/forever/images/product/71bb6793353bc21414b1a1f8595b5552.256p.jpg,6000 W,6000 VA,
CyberPower AVRG900U,https://pcpartpicker.com/product/pTH48d/cyberpower-ups-avrg900u,https://cdna.pcpartpicker.com/static/forever/images/product/f241ed23765d9cb4b1dfa8fc9e0500f1.256p.jpg,480 W,900 VA,119.95
CyberPower CP850PFCLCD,https://pcpartpicker.com/product/Q4Crxr/cyberpower-ups-cp850pfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/241ad7a47bf9462223e3c59eae05b5ac.256p.jpg,510 W,850 VA,169.95
CyberPower OL1500RTXL2U,https://pcpartpicker.com/product/kTBrxr/cyberpower-ups-ol1500rtxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/2b733f6a87bfbea2531b3e726582c017.256p.jpg,1350 W,1500 VA,
CyberPower CP900EPFCLCD,https://pcpartpicker.com/product/McBzK8/cyberpower-cp900epfclcd-ups-cp900epfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/65657f2cd7795b7eab73766047de91f6.256p.jpg,540 W,900 VA,
VERTIV Liebert PSA5,https://pcpartpicker.com/product/B49nTW/vertiv-liebert-psa5-ups-psa5-700mt120,https://cdna.pcpartpicker.com/static/forever/images/product/70246bc3001e354c609e5c32d4a91a61.256p.jpg,420 W,700 VA,
APC SMC1500I,https://pcpartpicker.com/product/VKZ2FT/apc-ups-smc1500i,https://cdna.pcpartpicker.com/static/forever/images/product/3e5ab3aa4db61d5736875c533b686ad0.256p.jpg,900 W,1500 VA,
APC SMT2200RM2U,https://pcpartpicker.com/product/BBPzK8/apc-ups-smt2200rm2u,https://m.media-amazon.com/images/I/41R2eIXTOYL.jpg,1980 W,2200 VA,1490.55
APC SMT3000RMT2U,https://pcpartpicker.com/product/xvVBD3/apc-ups-smt3000rmt2u,https://cdna.pcpartpicker.com/static/forever/images/product/bddd1565437100285782cd0bd4786806.256p.jpg,2700 W,3000 VA,2699.99
