Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Patriot Signature Line 8 GB,Patriot ,PSD48G320081 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 8GB ,$9.498 ,,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Corsair Vengeance RGB Pro 16 GB,Corsair ,CMW16GX4M2C3000C15 ,DDR4-3000 ,288-pin DIMM (DDR4) ,2 x 8GB ,$10.374 ,Black ,10 ns ,15 ,1.35 V ,15-17-17-35 ,Non-ECC / Unbuffered ,Yes 
Samsung M378B5173DB0-CK0 4 GB,Samsung ,M378B5173DB0-CK0 ,DDR3-1600 ,240-pin DIMM (DDR3) ,1 x 4GB ,,Green ,13.75 ns ,11 ,1.5 V ,,Non-ECC / Unbuffered ,No 
TEAMGROUP T-Force Delta RGB 32 GB,TEAMGROUP ,FF4D532G7200HC34ADC01 ,DDR5-7200 ,288-pin DIMM (DDR5) ,2 x 16GB ,$19.375 ,White / Gray ,9.444 ns ,34 ,1.4 V ,34-42-42-84 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M4B6000C36 ,DDR5-6000 ,288-pin DIMM (DDR5) ,4 x 16GB ,$17.250 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K16G3ERSLD4160B 32 GB,Crucial ,CT2K16G3ERSLD4160B ,DDR3-1600 ,240-pin DIMM (DDR3) ,2 x 16GB ,$2.906 ,Green ,13.75 ns ,11 ,1.35 V ,,ECC / Registered ,No 
TEAMGROUP T-Create Expert 96 GB,TEAMGROUP ,CTCWD596G6400HC32BDC01 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 48GB ,$14.583 ,White ,10 ns ,32 ,1.4 V ,32-39-39-76 ,Non-ECC / Unbuffered ,Yes 
PNY XLR8 Gaming EPIC-X RGB 32 GB,PNY ,MD32GK2D4320016XRGB ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$7.812 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Dominator Titanium 48 GB,Corsair ,CMP48GX5M2X7600C36 ,DDR5-7600 ,288-pin DIMM (DDR5) ,2 x 24GB ,$17.291 ,Black ,9.474 ns ,36 ,1.4 V ,36-46-46-96 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K8G4DFS824A 16 GB,Crucial ,CT2K8G4DFS824A ,DDR4-2400 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Green / Black ,14.167 ns ,17 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Corsair Vengeance 8 GB,Corsair ,CMZ8GX3M2A1600C9 ,DDR3-1600 ,240-pin DIMM (DDR3) ,2 x 4GB ,,Black / Silver ,11.25 ns ,9 ,1.5 V ,9-9-9-24 ,Non-ECC / Unbuffered ,Yes 
Kingston HyperX Fury 16 GB,Kingston ,HX316C10FK2/16 ,DDR3-1600 ,240-pin DIMM (DDR3) ,2 x 8GB ,,Blue / Silver ,12.5 ns ,10 ,1.5 V ,,Non-ECC / Unbuffered ,Yes 
KingBank SharpBlade 32 GB,KingBank ,BRSBDDR516G6000X2 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,,Black ,12 ns ,36 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 32 GB,Corsair ,CMK32GX5M2B5200C40W ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.312 ,White ,15.385 ns ,40 ,1.25 V ,40-40-40-77 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 32 GB,Corsair ,CMK32GX4M2A2400C14 ,DDR4-2400 ,288-pin DIMM (DDR4) ,2 x 16GB ,$8.218 ,Black / Yellow ,11.667 ns ,14 ,1.2 V ,14-16-16-31 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast RGB 64 GB,Kingston ,KF556C40BBAK2-64 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 32GB ,$15.586 ,Black ,14.286 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
Netac Shadow II 16 GB,Netac ,NTSWD4P36DP-16K ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Black ,10 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Impact 16 GB,Kingston ,KF556S40IB-16 ,DDR5-5600 ,262-pin SODIMM (DDR5) ,1 x 16GB ,$11.124 ,Black ,14.286 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
TEAMGROUP T-Force Vulcan 32 GB,TEAMGROUP ,FLRD532G5200HC40CDC01 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 16GB ,,Red ,15.385 ns ,40 ,1.25 V ,40-40-40-76 ,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 16 GB,G.Skill ,F4-4000C18D-16GVK ,DDR4-4000 ,288-pin DIMM (DDR4) ,2 x 8GB ,$10.624 ,Black ,9 ns ,18 ,1.35 V ,18-22-22-42 ,Non-ECC / Unbuffered ,Yes 
Gigabyte AORUS RGB 32 GB,Gigabyte ,ARS32G60D5R ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,,Black ,13.333 ns ,40 ,1.35 V ,40-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K8G48C40U5 16 GB,Crucial ,CT2K8G48C40U5 ,DDR5-4800 ,288-pin DIMM (DDR5) ,2 x 8GB ,,Black ,16.667 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
G.Skill Ripjaws V 8 GB,G.Skill ,F4-2400C15D-8GVR ,DDR4-2400 ,288-pin DIMM (DDR4) ,2 x 4GB ,,Black / Red ,12.5 ns ,15 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
Patriot Signature Premium 16 GB,Patriot ,PSP416G26662H1 ,DDR4-2666 ,288-pin DIMM (DDR4) ,1 x 16GB ,,Black ,14.254 ns ,19 ,1.2 V ,19-19-19-43 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Royal 32 GB,G.Skill ,F5-7600J3646G16GX2-TR5S ,DDR5-7600 ,288-pin DIMM (DDR5) ,2 x 16GB ,$23.934 ,Silver ,9.474 ns ,36 ,1.4 V ,36-46-46-121 ,Non-ECC / Unbuffered ,Yes 
