Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
ARCTIC Freezer A35,ARCTIC ,Freezer A35 ,ACFRE00112A ,200 - 1800 RPM ,,Black / White ,158 mm , AM4 | AM5 | ,No ,No 
Phanteks PH-TC12ST4_DBK01,Phanteks ,,PH-TC12ST4_DBK01 ,400 - 2000 RPM ,35.7 dB ,,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Zalman Alpha2 DS A36,Zalman ,Alpha2 DS A36 ,Alpha2 DS A36 WHITE ,600 - 2000 RPM ,29.7 dB ,White ,65 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
MSI MPG CORELIQUID K240 V2,MSI ,, MPG CORELIQUID K240 V2 | 9S6-6A0311-038 | ,,39.9 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
TEAMGROUP SIREN GD360E,TEAMGROUP ,SIREN GD360E ,TB130602 ,600 - 2200 RPM ,14.3 - 35.6 dB ,White ,49 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Zalman CNPS10X Performa,Zalman ,,CNPS10X PERFORMA WHITE ,700 - 1500 RPM ,27 dB ,White ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Noctua NH-C14,Noctua ,,NH-C14 ,750 - 1200 RPM ,10.1 - 19.6 dB ,,130 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | ,No ,No 
Prolimatech PRO-SAM17,Prolimatech ,, PRO-SAM17 | Samuel 17 | ,,,,45 mm , AM2 | AM2+ | AM3 | AM3+ | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | ,No ,Yes 
Reeven Steropes RC-1206b,Reeven ,Steropes RC-1206b ,RC-1206b ,500 - 2000 RPM ,9.32 - 33.67 dB ,,60 mm , AM1 | AM2 | AM2+ | AM3 | AM3+ | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | ,No ,No 
EVGA CLC 120,EVGA ,CLC 120 ,400-HY-CL12-V1 ,500 - 2400 RPM ,16 - 39.9 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 120 mm ,No 
RAIJINTEK PALLAS 120,RAIJINTEK ,PALLAS 120 ,0R10B00095 ,200 - 1400 RPM ,28.43 dB ,Black ,81 mm , AM2 | AM2+ | AM3 | AM3+ | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
ARCTIC Liquid Freezer II 420 RGB,ARCTIC ,Liquid Freezer II 420 RGB ,ACFRE00110A ,200 - 1900 RPM ,22.5 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Gigabyte AORUS WATERFORCE 360,Gigabyte ,AORUS WATERFORCE 360 , GP-AORUS WATERFORCE 360 | AORUS WATERFORCE 360 | ,950 - 2150 RPM ,16.9 - 31 dB ,Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
