Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
Intel Core i7-8700K,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,6,3.7 GHz,4.7 GHz,Coffee Lake,95 W,Intel UHD Graphics 630,194.85
Intel Core 2 Duo E8400,https://pcpartpicker.com/product/Kwbp99/intel-cpu-eu80570pj0806m,/static/forever/img/no-image.png,2,3 GHz,,Wolfdale,65 W,None,23.03
AMD Ryzen 5 8600G,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,https://cdna.pcpartpicker.com/static/forever/images/product/d5ae2e9f000a9c994f70e092b05c80ef.256p.jpg,6,4.3 GHz,5 GHz,Zen 4,65 W,Radeon 760M,191.00
AMD Ryzen 9 7900X3D,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,12,4.4 GHz,5.6 GHz,Zen 4,120 W,Radeon,799.99
Intel Core i7-7700K,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,https://cdna.pcpartpicker.com/static/forever/images/product/e466732c63d1d636cf13e256bb7cf5ff.256p.jpg,4,4.2 GHz,4.5 GHz,Kaby Lake,91 W,Intel HD Graphics 630,199.00
Intel Core i9-9900K,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,https://cdna.pcpartpicker.com/static/forever/images/product/76f85d74fb4d0e2cc31f940bee5905c4.256p.jpg,8,3.6 GHz,5 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,447.00
AMD Ryzen 5 3600X,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,6,3.8 GHz,4.4 GHz,Zen 2,95 W,None,
AMD Ryzen 9 7950X,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,16,4.5 GHz,5.7 GHz,Zen 4,170 W,Radeon,698.25
Intel Core i7-13700K,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,https://cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,16,3.4 GHz,5.4 GHz,Raptor Lake,125 W,Intel UHD Graphics 770,1226.41
Intel Core i5-13600K,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,https://cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg,14,3.5 GHz,5.1 GHz,Raptor Lake,125 W,Intel UHD Graphics 770,319.00
