Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Seagate Barracuda Compute,https://pcpartpicker.com/product/qLRzK8/seagate-barracuda-compute-8-tb-35-7200rpm-internal-hard-drive-st8000dmz04,https://m.media-amazon.com/images/I/41aEb8InacL.jpg,8 TB,$0.023,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,184.99
Silicon Power P34A60,https://pcpartpicker.com/product/drwypg/silicon-power-p34a60-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-su001tbp34a60m28ca,https://cdna.pcpartpicker.com/static/forever/images/product/8a63c31554ef3c00eef5dac0c3bbb831.256p.jpg,1 TB,$0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4,132.97
SanDisk Optimus GX PRO 8100 (w/Heatsink),https://pcpartpicker.com/product/Jpvscf/sandisk-optimus-gx-pro-8100-wheatsink-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sdsp82800tah-000e0,https://m.media-amazon.com/images/I/316K8dgf-IL.jpg,8 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Crucial P3,https://pcpartpicker.com/product/sw4Ycf/crucial-p3-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/8c5042086b6c6ab10aca89e29fa85f08.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial P310,https://pcpartpicker.com/product/fP9nTW/crucial-p310-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct4000p310ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/2691f40daa1dad84937299288269d9e2.256p.jpg,4 TB,$0.140,SSD,,M.2-2280,M.2 PCIe 4.0 X4,560.46
Samsung 870 Evo,https://pcpartpicker.com/product/3CmmP6/samsung-870-evo-2-tb-25-solid-state-drive-mz-77e2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,2 TB,$0.180,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,359.97
Kingston NV2,https://pcpartpicker.com/product/FnYmP6/kingston-nv2-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s1000g,https://cdna.pcpartpicker.com/static/forever/images/product/7aa3028d0fc04e0ee3323f474bd349bd.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 970 Evo Plus,https://pcpartpicker.com/product/Fv8j4D/samsung-970-evo-plus-2-tb-m2-2280-nvme-solid-state-drive-mz-v7s2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/13eff9fb98909107806f62c493d3775f.256p.jpg,2 TB,$0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,339.99
Seagate Exos M,https://pcpartpicker.com/product/7ssMnQ/seagate-exos-m-36-tb-35-7200-rpm-internal-hard-drive-st36000nm003k,/static/forever/img/no-image.png,36 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,
Crucial T710,https://pcpartpicker.com/product/VMXMnQ/crucial-t710-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t710ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/abd724ed757ac7efff283d51c2b66cde.256p.jpg,4 TB,$0.139,SSD,,M.2-2280,M.2 PCIe 5.0 X4,554.16
Crucial P3 Plus,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,https://cdna.pcpartpicker.com/static/forever/images/product/e28de633eafbdc136277c18fc2acc45f.256p.jpg,2 TB,$0.150,SSD,,M.2-2280,M.2 PCIe 4.0 X4,299.99
Western Digital Blue,https://pcpartpicker.com/product/9wVmP6/western-digital-wd-blue-4-tb-35-5400rpm-internal-hard-drive-wd40ezaz,https://cdna.pcpartpicker.com/static/forever/images/product/84d21e519b342daa8e8d2326b7c89e19.256p.jpg,4 TB,$0.051,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,204.99
Silicon Power P34A60,https://pcpartpicker.com/product/94gQzy/silicon-power-p34a60-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-sp512gbp34a60m28,https://cdna.pcpartpicker.com/static/forever/images/product/229130faab065e7908c58fd694f78e1a.256p.jpg,512 GB,$0.185,SSD,,M.2-2280,M.2 PCIe 3.0 X4,94.97
Western Digital Blue SN580,https://pcpartpicker.com/product/rqhv6h/western-digital-blue-sn580-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t3b0e,https://cdna.pcpartpicker.com/static/forever/images/product/f3d3390c0b08de6bbdfecbac012c639b.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Lenovo S4520,https://pcpartpicker.com/product/PPdG3C/lenovo-s4520-768-tb-25-solid-state-drive-4xb7a17105,/static/forever/img/no-image.png,7.68 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,
Kingston A400,https://pcpartpicker.com/product/btDzK8/kingston-a400-240gb-25-solid-state-drive-sa400s37240g,https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg,240 GB,$0.324,SSD,,"2.5""",SATA 6.0 Gb/s,77.75
Crucial P510 W/Heatsink,https://pcpartpicker.com/product/8fxTwP/crucial-p510-wheatsink-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000p510ssd5,https://cdna.pcpartpicker.com/static/forever/images/product/c3a53ff66566c769f05252c0508c1663.256p.jpg,1 TB,$0.200,SSD,,M.2-2280,M.2 PCIe 5.0 X4,199.99
Crucial P310 w/ Acronis Data Recovery,https://pcpartpicker.com/product/wV9nTW/crucial-p310-w-acronis-data-recovery-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000p310ssd801,https://m.media-amazon.com/images/I/31s-wKnYDvL.jpg,2 TB,$0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4,225.95
Crucial T500,https://pcpartpicker.com/product/GfRwrH/crucial-t500-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000t500ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg,1 TB,$0.210,SSD,,M.2-2280,M.2 PCIe 4.0 X4,210.00
Western Digital Blue,https://pcpartpicker.com/product/gHNxFT/western-digital-wd-blue-2-tb-35-7200rpm-internal-hard-drive-wd20ezbx,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg,2 TB,$0.041,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,81.99
Western Digital WD_Black SN850X,https://pcpartpicker.com/product/mzJp99/western-digital-wd_black-sn850x-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds800t2x0e,https://cdna.pcpartpicker.com/static/forever/images/product/0427e658396f37fc8e06723b42a4f7df.256p.jpg,8 TB,$0.162,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,1299.99
Lexar NM790,https://pcpartpicker.com/product/B8QKHx/lexar-nm790-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x001t-rnnng,https://cdna.pcpartpicker.com/static/forever/images/product/3fbe36d4153d010e46505b197701865a.256p.jpg,1 TB,$0.190,SSD,,M.2-2280,M.2 PCIe 4.0 X4,189.99
Western Digital Black SN770,https://pcpartpicker.com/product/YVytt6/western-digital-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0e,https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD Blue SN5000,https://pcpartpicker.com/product/vLGhP6/western-digital-wd-blue-sn5000-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t4b0e,https://cdna.pcpartpicker.com/static/forever/images/product/8b610f0ec032392a7b1007b5dbe0925d.256p.jpg,2 TB,$0.146,SSD,,M.2-2280,M.2 PCIe 4.0 X4,292.00
Western Digital WD_BLACK SN8100 w/Heatsink,https://pcpartpicker.com/product/Q4kqqs/western-digital-wd_black-sn8100-wheatsink-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-wds800t1xhm-00cmt0,https://cdna.pcpartpicker.com/static/forever/images/product/5a9ebbe0c04a953c5c5fac1e9f2987fe.256p.jpg,8 TB,$0.331,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2649.99
Samsung 870 Evo,https://pcpartpicker.com/product/RBD7YJ/samsung-870-evo-4-tb-25-solid-state-drive-mz-77e4t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,4 TB,$0.150,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,599.99
Klevv CRAS C910,https://pcpartpicker.com/product/99RwrH/klevv-cras-c910-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-k01tbm2sp0-c91,https://m.media-amazon.com/images/I/31dtu8k-RkL.jpg,1 TB,$0.182,SSD,,M.2-2280,M.2 PCIe 4.0 X4,181.99
Samsung 990 EVO,https://pcpartpicker.com/product/kFrqqs/samsung-990-evo-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9e2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/23a44aca951ebb3941da82243d5e9e20.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X2,
Western Digital WD_BLACK SN7100,https://pcpartpicker.com/product/wfMMnQ/western-digital-wd_black-sn7100-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t4x0e-00cja0,https://cdna.pcpartpicker.com/static/forever/images/product/6f0fd73f94e49659eace8db76370bc34.256p.jpg,2 TB,$0.175,SSD,,M.2-2280,M.2 PCIe 4.0 X4,349.99
TEAMGROUP T-FORCE G50,https://pcpartpicker.com/product/vF3NnQ/teamgroup-t-force-g50-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffe512g0c129,https://cdna.pcpartpicker.com/static/forever/images/product/9ec0dd43fbfd154476d61fd6c555a02e.256p.jpg,512 GB,$0.195,SSD,,M.2-2280,M.2 PCIe 4.0 X4,99.95
