Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Denon AH-D7100,https://pcpartpicker.com/product/Hsdqqs/denon-headphones-ahd7100,https://m.media-amazon.com/images/I/41ngQpwfTFL.jpg,Circumaural,5 Hz - 45 kHz,No,No,Closed,Multicolor,
Sennheiser HD419,https://pcpartpicker.com/product/3vBv6h/sennheiser-headphones-asehhd419k2,https://m.media-amazon.com/images/I/41SpXo2mouL.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,
Sennheiser CC550,https://pcpartpicker.com/product/hYvRsY/sennheiser-headphones-cc550,https://m.media-amazon.com/images/I/31OyBMjPSBL.jpg,Supra-aural,300 Hz - 3.4 kHz,Yes,No,Closed,Black,
Sennheiser HD 419,https://pcpartpicker.com/product/Jp7wrH/sennheiser-headphones-hd419,https://m.media-amazon.com/images/I/41SpXo2mouL.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,
Sennheiser HD25-1  II,https://pcpartpicker.com/product/kqCwrH/sennheiser-headphones-hd251ii,https://m.media-amazon.com/images/I/51MkxLwsIRL.jpg,Supra-aural,16 Hz - 22 kHz,No,No,Closed,Black,
Sennheiser HD 518,https://pcpartpicker.com/product/z6kD4D/sennheiser-headphones-hd518,/static/forever/img/no-image.png,Circumaural,14 Hz - 26 kHz,No,No,Open,Black / Silver,
Sennheiser HME280I,https://pcpartpicker.com/product/XzJwrH/sennheiser-headphones-hme280i,https://cdna.pcpartpicker.com/static/forever/images/product/0fcdc1f799ddbeb8bc0bf866caa8d035.256p.jpg,Circumaural,300 Hz - 4 kHz,Yes,No,Closed,Black,
Sennheiser IE60,https://pcpartpicker.com/product/sDtCmG/sennheiser-headphones-ie60,https://cdna.pcpartpicker.com/static/forever/images/product/6a35a62f3ae41ca2c19973ff91abbd23.256p.jpg,In Ear,10 Hz - 18 kHz,No,No,Closed,Black / Gold,
Sennheiser RS 120,https://pcpartpicker.com/product/494gXL/sennheiser-headphones-rs120,https://m.media-amazon.com/images/I/41Gkc+iDCxS.jpg,Supra-aural,22 Hz - 19.5 kHz,No,Yes,Open,Black / Silver,
Sennheiser U 320,https://pcpartpicker.com/product/sj6BD3/sennheiser-u-320-headset-u-320,https://cdna.pcpartpicker.com/static/forever/images/product/269ffedda7a06007055a643f5f788122.med.256p.jpg,Circumaural,70 Hz - 15 kHz,Yes,No,Closed,Black / Blue,
Sony MDR-X05/BR,https://pcpartpicker.com/product/R4rG3C/sony-headphones-mdrx05br,https://m.media-amazon.com/images/I/41cZyygEH6L.jpg,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Red / Black,
Sony MDR210LP,https://pcpartpicker.com/product/VbmLrH/sony-headphones-mdr210lp,https://images-na.ssl-images-amazon.com/images/I/31FEJL-soVL.jpg,Supra-aural,14 Hz - 20 kHz,No,No,Closed,Black,
Sony MDRNC500D,https://pcpartpicker.com/product/fDPfrH/sony-headphones-mdrnc500d,https://m.media-amazon.com/images/I/41w3XB7LO3L.jpg,Circumaural,5 Hz - 24 kHz,No,No,Closed,Black,
Sony MDRNC8WHI,https://pcpartpicker.com/product/z7mLrH/sony-headphones-mdrnc8whi,/static/forever/img/no-image.png,Supra-aural,30 Hz - 20 kHz,No,No,Closed,White,
Sony SY-MDR-DS6500,https://pcpartpicker.com/product/2mbp99/sony-headphones-symdrds6500,https://m.media-amazon.com/images/I/51vG3h9MX5L.jpg,Circumaural,12 Hz - 22 kHz,No,Yes,Closed,Black / Silver,
KRK KNS-8400,https://pcpartpicker.com/product/pyGkcf/krk-headphones-kns8400,https://cdna.pcpartpicker.com/static/forever/images/product/704e64281a92fa763093af880da8bb59.med.256p.jpg,Circumaural,5 Hz - 23 kHz,No,No,Closed,Black,
Behringer HPX4000,https://pcpartpicker.com/product/2wxfrH/behringer-headphones-hpx4000,https://cdna.pcpartpicker.com/static/forever/images/product/41930a4eddf3506fc2c47a7784cca95d.256p.jpg,Circumaural,,No,No,Closed,Black,
Harman Kardon HARKARNC,https://pcpartpicker.com/product/XvPfrH/harman-kardon-headphones-harkarnc,https://m.media-amazon.com/images/I/31FI5WBLdeL.jpg,Circumaural,16 Hz - 20 kHz,No,No,Closed,Black / Silver,
Harman Kardon J88IBLK,https://pcpartpicker.com/product/rY3RsY/harman-kardon-headphones-j88iblk,https://cdna.pcpartpicker.com/static/forever/images/product/fa1950d63811a39bf76e00f0536ed527.256p.jpg,Circumaural,8 Hz - 24 kHz,Yes,No,Closed,Black / Silver,
Logitech H650e,https://pcpartpicker.com/product/VT2kcf/logitech-headphones-981000518,https://cdna.pcpartpicker.com/static/forever/images/product/4531310f099bd51378b67e1811122734.256p.jpg,Supra-aural,50 Hz - 10 kHz,Yes,No,Closed,Black,65.00
Astro A40 + MixAmp Pro - Black,https://pcpartpicker.com/product/FqTmP6/astro-headphones-3as42hbu9n139,/static/forever/img/no-image.png,Circumaural,15 Hz - 28 kHz,Yes,No,Closed,Black / White,
Asus Orion,https://pcpartpicker.com/product/yZ6BD3/asus-headphones-orion,https://cdna.pcpartpicker.com/static/forever/images/product/67b8155f40ba9f02dcb5ae79cb999aeb.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,79.99
Creative Labs ChatMax HS-620,https://pcpartpicker.com/product/z9bp99/creative-labs-headphones-51ef0390aa001,https://cdna.pcpartpicker.com/static/forever/images/product/cba788b9535c42313925b94b71172dcf.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,60.03
Mad Catz F.R.E.Q. 5,https://pcpartpicker.com/product/PNrG3C/mad-catz-headphones-mcb434030013021,https://m.media-amazon.com/images/I/41RLbeiBAqL.jpg,Circumaural,,Yes,No,Closed,Black,
Razer Banshee StarCraft II Heart of the Swarm,https://pcpartpicker.com/product/2YMFf7/razer-headphones-rz0400450100r3m2,https://images-na.ssl-images-amazon.com/images/I/31OV6L2N3XL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Razer Tiamat 2.2,https://pcpartpicker.com/product/F3h9TW/razer-headphones-rz0400590100r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/b2cc6fb7840a7e6a61e90ea49fbdade7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Razer BlackShark,https://pcpartpicker.com/product/rLzv6h/razer-headphones-rz0400720100r3m1,https://m.media-amazon.com/images/I/310jjUltDCL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,
SteelSeries Siberia v2,https://pcpartpicker.com/product/8m6BD3/steelseries-headphones-51126,https://images-na.ssl-images-amazon.com/images/I/31eVwsMjH7L.jpg,Circumaural,18 Hz - 28 kHz,Yes,No,Closed,Pink / Black,
SteelSeries 3H VR,https://pcpartpicker.com/product/9B2kcf/steelseries-headphones-61012,https://images-na.ssl-images-amazon.com/images/I/41alMyfwN2L.jpg,Circumaural,10 Hz - 27 kHz,Yes,No,Closed,Black,
Turtle Beach Ear Force XP300,https://pcpartpicker.com/product/wHdqqs/turtle-beach-headphones-tbs226001,https://m.media-amazon.com/images/I/41D0RxWgrYL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green,
Beyerdynamic Custom One Pro (White),https://pcpartpicker.com/product/HLzv6h/beyerdynamic-headphones-709018,https://cdna.pcpartpicker.com/static/forever/images/product/d93f2c94fbd7b76470dc6f511798568b.med.256p.jpg,Circumaural,5 Hz - 35 kHz,No,No,Closed,White,
