Name,URL,Image,Resolution,Connection,Focus Type,Operating System,FOV Angle,Price
VDO360 2SEE,https://pcpartpicker.com/product/TxqBD3/vdo360-2see-webcam-vdos4m,https://cdna.pcpartpicker.com/static/forever/images/product/8ac7231db1827f258d7698eaa9ed3aaf.256p.jpg,"1080p, 720p",USB 2.0 Type-A,,"Windows, OS X, Linux, Android",75°,
Microsoft LifeCam HD-3000 L2,https://pcpartpicker.com/product/LxqBD3/microsoft-lifecam-hd-3000-l2-webcam-t3h-00011,https://cdna.pcpartpicker.com/static/forever/images/product/af905f6aabce307ac01e86d331d39e45.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,
Microsoft LifeCam CinemaaFor Business,https://pcpartpicker.com/product/wnBhP6/microsoft-lifecam-cinemaafor-business-webcam-6ch-00001,https://cdna.pcpartpicker.com/static/forever/images/product/a50f76b93f27307e52589e86ca926451.256p.jpg,720p,USB 2.0 Type-A,Auto,"Windows, OS X",,
Adesso Cybertrack H4P,https://pcpartpicker.com/product/HjDkcf/adesso-cybertrack-h4p-webcam-cybertrack-h4p,https://cdna.pcpartpicker.com/static/forever/images/product/961ba7424f58a1eb64c6902f2ae4f27a.256p.jpg,1080p,USB 2.0 Type-A,Manual,"Windows, OS X",78°,
Creative Labs BlasterX Senz3D,https://pcpartpicker.com/product/mpkgXL/creative-labs-blasterx-senz3d-webcam-vf081000000,https://cdna.pcpartpicker.com/static/forever/images/product/4779680dd6345bf28871941d4cb9a8e4.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,Windows,77°,
Green Extreme T300,https://pcpartpicker.com/product/bzLwrH/green-extreme-t300-webcam-gx-t300,https://cdna.pcpartpicker.com/static/forever/images/product/09106d7c834ed70a77594bab094304f1.256p.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",94°,
Green Extreme T200 + Live Streaming Bundle,https://pcpartpicker.com/product/j9drxr/green-extreme-t200-live-streaming-bundle-webcam-gx-t200-k1,https://cdna.pcpartpicker.com/static/forever/images/product/6742a2747e6eae9251b49c0b97d75cd7.256p.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X, Android",,
Avermedia HD Webcam 310,https://pcpartpicker.com/product/MQsnTW/avermedia-hd-webcam-310-webcam-pw310o,https://m.media-amazon.com/images/I/41OEoZC1AsL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",,
Wansview 101JD,https://pcpartpicker.com/product/67jNnQ/wansview-101jd-webcam-101jd,https://cdna.pcpartpicker.com/static/forever/images/product/4669f48df62932d8e9ea3f01ac00eda0.256p.jpg,1080p,USB 2.0 Type-A,,"Windows, OS X, Android",90°,
Wansview 102JD,https://pcpartpicker.com/product/j3Dkcf/wansview-102jd-webcam-102jd,https://cdna.pcpartpicker.com/static/forever/images/product/6f682b778fe8b18a3dc633ad5e241a74.256p.jpg,1080p,USB 2.0 Type-A,,"Windows, OS X, Android",90°,
Wansview 105JD,https://pcpartpicker.com/product/8WqPxr/wansview-105jd-webcam-105jd,https://cdna.pcpartpicker.com/static/forever/images/product/bddb68bb7b9cda8859ed8ae5aa7c4a55.256p.jpg,1080p,USB 2.0 Type-A,Manual,"Windows, OS X, Android",90°,
Wansview 106JD,https://pcpartpicker.com/product/xDgFf7/wansview-106jd-webcam-106jd,https://cdna.pcpartpicker.com/static/forever/images/product/bff192640f123c0be0efd4c9ee997c95.256p.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X, Android",60°,
OBSBOT Tiny,https://pcpartpicker.com/product/JpNYcf/obsbot-tiny-webcam-owb-2004-ce,https://cdna.pcpartpicker.com/static/forever/images/product/98fe8af9b7c8e972ce09b8aa5fe5932a.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",86°,
VIZOLINK W4DS,https://pcpartpicker.com/product/tYKnTW/vizolink-w4ds-webcam-tlsx-w4ds-us,/static/forever/img/no-image.png,"2k, 1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",65°,
